소재지면적,대피가능인원수,소재지전체주소,좌표정보(X),좌표정보(Y),id
6428,7792,서울특별시 성동구 행당동 168번지 151호,203321.5623,451001.8687,0
4557,5524,서울특별시 성동구 하왕십리동 1064번지,202678.8294,450952.1215,0
13786.8,16711,서울특별시 성동구 금호동3가 1662번지,201515.2947,449785.1005,0
14798.6,17938,서울특별시 성동구 금호동3가 917번지,201763.6208,449810.6931,0
784.46,951,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
13673,16573,서울특별시 성동구 송정동 104번지,206045.7639,450073.1959,0
967,1172,서울특별시 성동구 성수동1가 479번지 1호,204023.6838,448383.0908,0
1306.52,1584,서울특별시 성동구 성수동2가 277번지 58호,205225.384,449060.9597,0
7260.76,8801,서울특별시 성동구 옥수동 428번지,200951.2066,449000.9201,0
36036.34,43680,서울특별시 성동구 옥수동 250번지 7호,201222.0743,448765.9778,0
9509,11526,서울특별시 성동구 금호동4가 1250번지,201464.9995,449422.4084,0
32551.27,39456,서울특별시 성동구 금호동4가 1507번지,201314.2318,449386.9829,0
35484.2,43011,서울특별시 성동구 금호동3가 1331번지,201383.0237,449744.2805,0
6788,8228,서울특별시 성동구 금호동2가 223번지 1호,201679.1909,450266.1263,0
1000,1212,서울특별시 성동구 금호동2가 511번지,201706.1533,450030.9179,0
11791.79,14293,서울특별시 성동구 마장동 831번지,203463.53,451348.8347,0
8830,10703,서울특별시 성동구 마장동 817번지,203475.5372,451542.7474,0
231.41,280,서울특별시 성동구 마장동 523번지 1호,203332.8624,452132.3975,0
4734,5738,서울특별시 성동구 마장동 772번지,203813.3988,451861.5636,0
2453.02,2973,서울특별시 성동구 홍익동 53번지,202703.2375,451687.7278,0
6150,7455,서울특별시 성동구 성수동1가 715번지 중앙하이츠빌,204153.8684,449514.178,0
4496.5,5450,서울특별시 성동구 성수동2가 834번지,204933.0858,449461.9788,0
